Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
GSN,12.825119963536917,15.208356140350878,-0.22944578032742394,1.894849749887222e-61,60.72242522125364,Not Significant
ADH1C,3.1718405651777575,8.035988596491228,-1.1149984264603106,1.9929739532626582e-61,60.7004983771792,Downregulated
SCN3A,3.132311577028259,6.95910350877193,-0.9456569010061296,2.00137133392204e-61,60.698672325001205,Not Significant
AQP1,11.248426253418414,13.692869298245615,-0.26251976465706534,2.0323508000849084e-61,60.692001327199186,Not Significant
CDC25C,6.4590103008204185,2.654774561403509,1.0292018003954126,2.080352436165129e-61,60.68186308421232,Upregulated
HJURP,7.873904922515954,4.310085964912281,0.7408338788156014,2.0803630424158034e-61,60.681860870056525,Not Significant
RYR3,3.3958463081130352,7.008138596491228,-0.8653259967966581,2.241710963911615e-61,60.649420384100694,Not Significant
TGFBR3,9.087940382862353,12.437098245614035,-0.4135899655130948,2.461035563550836e-61,60.608882110416545,Not Significant
MSRB3,9.255917593436646,11.38368245614035,-0.27198380828741753,2.6210365386978824e-61,60.581526924706104,Not Significant
MEOX2,5.585231449407475,8.990650877192984,-0.6013445232831899,2.6271636714161507e-61,60.580512869970434,Not Significant
PGM5,6.324534366453966,9.593478947368423,-0.5323675019541424,2.7143604846358913e-61,60.56633247572866,Not Significant
LRRN4CL,4.751130355515041,8.49512543859649,-0.7233415213935268,2.765473183560133e-61,60.55823054847246,Not Significant
NR3C1,9.940743664539655,11.81182456140351,-0.22776514345806298,2.9451883618028025e-61,60.53088692434867,Not Significant
SPARCL1,12.043417319963536,14.144852631578948,-0.2155056408528925,2.945204700926514e-61,60.530884515004786,Not Significant
LIMS2,8.150714402917046,10.355602631578947,-0.3114479854442122,3.1512062862975134e-61,60.50152316583004,Not Significant
RABIF,8.962740291704648,7.847223684210526,0.17131781672138907,3.210488858038774e-61,60.493428832958415,Not Significant
RCBTB2,7.875385323609846,9.226256140350877,-0.20439640686019533,3.210508141111823e-61,60.49342622447496,Not Significant
PTTG1,8.438618505013673,5.371318421052632,0.5669837720135318,3.225517332718802e-61,60.491400620028216,Not Significant
CDKN3,7.194598814949863,4.260914912280701,0.6393596039194155,3.624132580382058e-61,60.440795923060584,Not Significant
