PC1,PC2,Sample_Type,Cluster
56.21933595058088,16.633049943559424,Tumor,0
-27.89614527225557,-49.21732041377991,Tumor,1
-7.4934164535076455,-7.499236390358515,Tumor,0
23.477907897547578,0.015572581986255975,Tumor,0
32.05315604494942,-57.559087001124176,Tumor,0
32.296932628595286,12.209403622789,Tumor,0
32.48552947602305,10.487641309203873,Tumor,0
9.098120964104764,6.81019937551488,Tumor,0
18.89955866733237,-62.61322521002656,Tumor,0
33.841624175924316,-74.20765040526892,Tumor,0
60.55899576956466,-41.640597781074696,Tumor,0
69.80141142635576,-36.199793021355404,Tumor,0
32.5368113384793,-52.14283733658594,Tumor,0
71.47271775381925,13.72195567523935,Tumor,0
52.2030685294946,-28.930710042554686,Tumor,0
24.138900619361625,26.934382920716697,Tumor,0
21.44608955727705,-53.29920560887818,Tumor,0
49.32703254124095,-2.6742967300929568,Tumor,0
58.07814045140401,-6.476278856453961,Tumor,0
41.74095808245226,6.715149429987055,Tumor,0
33.52188353601953,-19.245460765019992,Tumor,0
77.98967367636267,4.584473673532076,Tumor,0
40.851467271958896,-40.82930135091228,Tumor,0
33.58804102844097,-60.3770220871258,Tumor,0
27.10642730711531,-25.436390361726286,Tumor,0
43.60237244841819,18.599611178368313,Tumor,0
78.66681942867045,3.1147073514653574,Tumor,0
33.11515699007526,-13.749905058922009,Tumor,0
47.467203967163115,-17.80364221806822,Tumor,0
17.856507075805425,2.8632114735483127,Tumor,0
43.46412042868362,-34.49827655153685,Tumor,0
-9.563562526816018,42.41020080629713,Tumor,1
-86.37391057836517,55.142007988425156,Tumor,1
20.882761465460167,-53.87152147629368,Tumor,0
-8.274638907034914,-38.40969964561153,Tumor,0
58.38279195826136,-2.992334434404548,Tumor,0
57.88382734342622,37.26219810233822,Tumor,0
19.17577732920792,18.41212399815618,Tumor,0
54.21635594125804,47.532806639008044,Tumor,0
20.95008973717827,48.633092690130425,Tumor,0
-18.495006834926368,14.90475565737096,Tumor,1
